DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PUEHOM;PUEMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
1.0;0101;8.0;2013.0;18.0;7.0;1.0;0101;34.0;31.0;4.0;9.0;320.0;320.0;5.0;9.0;24;NEOG
1.0;0101;10.0;2013.0;19.0;9.0;1.0;0101;31.0;32.0;4.0;9.0;320.0;1034.0;9.0;9.0;25;NEOG
1.0;0101;5.0;2013.0;4.0;3.0;1.0;0101;36.0;35.0;4.0;9.0;320.0;320.0;5.0;9.0;26;NEOG
1.0;0101;9.0;2013.0;25.0;7.0;1.0;0101;45.0;41.0;9.0;9.0;320.0;320.0;6.0;9.0;26;NEOG
1.0;0117;1.0;2014.0;5.0;11.0;1.0;0103;50.0;35.0;4.0;9.0;320.0;320.0;5.0;9.0;26;NEOG
1.0;0101;9.0;2013.0;6.0;6.0;1.0;0115;24.0;17.0;9.0;9.0;320.0;320.0;4.0;9.0;31;NEOG
1.0;0104;12.0;2013.0;27.0;11.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;31;NEOG
1.0;0101;8.0;2013.0;30.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;31;NEOG
22.0;2201;4.0;2013.0;22.0;3.0;22.0;2201;36.0;34.0;9.0;9.0;320.0;320.0;9.0;9.0;33;NEOG
9.0;0901;12.0;2013.0;11.0;4.0;9.0;0901;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;33;NEOG
10.0;1006;2.0;2014.0;25.0;2.0;10.0;1006;999.0;41.0;9.0;9.0;320.0;320.0;9.0;9.0;34;NEOG
21.0;2101;6.0;2013.0;22.0;5.0;21.0;2101;26.0;17.0;4.0;9.0;320.0;320.0;4.0;9.0;34;NEOG
1.0;0101;9.0;2013.0;22.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;35;NEOG
1.0;0101;10.0;2013.0;21.0;5.0;1.0;0115;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;35;NEOG
1.0;0108;11.0;2013.0;25.0;9.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;35;NEOG
1.0;0101;6.0;2014.0;22.0;11.0;1.0;0101;27.0;20.0;4.0;9.0;320.0;320.0;4.0;9.0;35;NEOG
1.0;0115;2.0;2014.0;10.0;12.0;1.0;0115;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;35;NEOG
1.0;0101;8.0;2013.0;4.0;7.0;1.0;0101;25.0;27.0;4.0;9.0;320.0;320.0;4.0;9.0;42;NEOG
1.0;0101;1.0;2014.0;7.0;10.0;1.0;0101;52.0;47.0;9.0;9.0;320.0;320.0;9.0;9.0;43;NEOG
9.0;0901;2.0;2014.0;19.0;3.0;9.0;0901;49.0;36.0;9.0;9.0;320.0;320.0;9.0;9.0;43;NEOG
1.0;0101;11.0;2013.0;28.0;8.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;43;NEOG
1.0;0101;6.0;2013.0;7.0;3.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;43;NEOG
1.0;0101;2.0;2014.0;19.0;11.0;1.0;0101;33.0;39.0;9.0;9.0;320.0;320.0;4.0;9.0;43;NEOG
1.0;0108;11.0;2013.0;10.0;9.0;1.0;0108;46.0;40.0;4.0;9.0;320.0;320.0;4.0;9.0;43;NEOG
22.0;2217;6.0;2013.0;12.0;3.0;22.0;2217;28.0;23.0;4.0;9.0;320.0;320.0;5.0;9.0;43;NEOG
17.0;1703;11.0;2013.0;7.0;8.0;17.0;1703;28.0;27.0;4.0;4.0;320.0;320.0;9.0;9.0;51;NEOG
22.0;2205;7.0;2013.0;20.0;6.0;22.0;2205;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;51;NEOG
1.0;0101;12.0;2013.0;10.0;10.0;1.0;0101;41.0;49.0;9.0;9.0;320.0;320.0;1.0;9.0;52;NEOG
