Depreg;Mupreg;Mesreg;Anoreg;Diaocu;Mesocu;Anoocu;Depocu;Mupocu;Edadhom;Edadmuj;Gethom;Getmuj;Nachom;Nacmuj;Ocuhom;Ocumuj;Mever;Anover
6.0;0608;6.0;09;21.0;4.0;09;1.0;0101;23.0;999.0;9.0;9.0;320.0;320.0;9999.0;9999.0;6.0;2001.0
1.0;0106;3.0;10;21.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;5.0;2001.0
1.0;0101;12.0;09;22.0;7.0;09;1.0;0101;28.0;26.0;9.0;9.0;320.0;320.0;1219.0;9712.0;11.0;2001.0
1.0;0108;9.0;09;22.0;6.0;09;1.0;0101;21.0;16.0;9.0;9.0;320.0;320.0;9712.0;9712.0;1.0;2001.0
22.0;2201;3.0;10;23.0;3.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2001.0
1.0;0101;6.0;09;24.0;2.0;09;1.0;0101;29.0;24.0;9.0;9.0;320.0;320.0;9712.0;9712.0;2.0;2001.0
5.0;0506;5.0;09;25.0;3.0;09;1.0;0101;25.0;24.0;9.0;9.0;320.0;320.0;9999.0;9999.0;7.0;2001.0
1.0;0115;7.0;09;28.0;5.0;09;1.0;0101;19.0;19.0;9.0;9.0;320.0;320.0;9712.0;9712.0;4.0;2001.0
1.0;0108;7.0;09;29.0;5.0;09;1.0;0101;26.0;999.0;9.0;9.0;320.0;320.0;9712.0;9712.0;12.0;2001.0
1.0;0114;2.0;10;30.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2001.0
1.0;0108;10.0;09;31.0;8.0;09;1.0;0101;29.0;24.0;9.0;9.0;320.0;320.0;9712.0;9712.0;5.0;2001.0
13.0;1301;11.0;09;1.0;7.0;09;1.0;0101;17.0;17.0;9.0;9.0;320.0;320.0;9999.0;9999.0;12.0;2002.0
1.0;0117;6.0;09;2.0;4.0;09;1.0;0101;19.0;17.0;9.0;9.0;320.0;320.0;9999.0;9999.0;1.0;2002.0
1.0;0108;7.0;09;2.0;3.0;09;1.0;0101;21.0;21.0;9.0;9.0;320.0;320.0;9712.0;9712.0;1.0;2002.0
5.0;0501;6.0;09;3.0;2.0;09;1.0;0101;24.0;17.0;9.0;9.0;320.0;320.0;2341.0;9712.0;3.0;2002.0
5.0;0501;7.0;09;3.0;2.0;09;1.0;0101;24.0;17.0;9.0;9.0;320.0;320.0;2341.0;9712.0;3.0;2002.0
1.0;0101;1.0;10;4.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;11.0;2002.0
1.0;0108;8.0;09;4.0;6.0;09;1.0;0101;29.0;37.0;9.0;9.0;99.0;99.0;9712.0;9712.0;3.0;2002.0
1.0;0108;3.0;10;4.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2002.0
1.0;0114;9.0;09;5.0;8.0;09;1.0;0101;18.0;17.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2002.0
1.0;0101;4.0;10;6.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;7.0;2002.0
